Trabajador;Cédula;Fecha;Entrada;Salida;Minutos Tarde;Observación
Sebastian Garcia;59981602;2025-07-01;08:08;15:59;38;Tarde
Laura Gomez;17671641;2025-04-01;08:13;16:32;43;Tarde
Cristian Sierra;89046111;2025-07-31;08:29;16:06;59;Tarde
Maria Sanchez;99390538;2025-02-20;07:30;15:16;0;-
Samuel Bernal;85815939;2025-01-07;07:36;15:45;6;Tarde
Harrison Rengifo;90715204;2025-03-29;08:01;15:47;31;Tarde
Ana Torres;52824440;2025-04-27;08:26;16:45;56;Tarde
Ana Torres;65307438;2025-07-10;07:59;16:11;29;Tarde
Carlos Perez;91106160;2025-02-18;08:01;16:16;31;Tarde
Laura Gomez;80635994;2025-01-22;08:03;15:36;33;Tarde
Cristian Sierra;56520366;2025-01-10;08:12;15:51;42;Tarde
Santiago Puerta;98585412;2025-08-02;07:38;15:20;8;Tarde
Cristian Sierra;61728165;2025-03-10;07:59;15:34;29;Tarde
Cristian Sierra;53420955;2025-04-02;08:06;15:41;36;Tarde
Santiago Puerta;49885566;2025-02-24;08:27;16:33;57;Tarde
Carlos Perez;30769906;2025-07-17;08:16;16:35;46;Tarde
Sebastian Garcia;74295838;2025-02-14;08:25;16:13;55;Tarde
Harrison Rengifo;35255929;2025-03-11;08:16;16:43;46;Tarde
Harrison Rengifo;62108636;2025-06-14;07:47;16:14;17;Tarde
Carlos Perez;79702526;2025-05-10;07:42;16:07;12;Tarde
Santiago Puerta;42661938;2025-06-23;07:45;15:29;15;Tarde
Cristian Sierra;39595963;2025-05-09;07:38;15:51;8;Tarde
Maria Sanchez;56640285;2025-05-13;08:04;16:12;34;Tarde
Harrison Rengifo;45582710;2025-08-03;08:28;16:50;58;Tarde
Samuel Bernal;79175938;2025-07-26;08:25;16:07;55;Tarde
Ana Torres;94450450;2025-07-24;08:12;16:09;42;Tarde
Sebastian Garcia;73097210;2025-01-12;08:25;16:40;55;Tarde
Samuel Bernal;20975782;2025-02-22;08:22;16:08;52;Tarde
Santiago Puerta;77547778;2025-04-04;08:20;15:57;50;Tarde
Ana Torres;96969422;2025-02-28;07:33;15:23;3;Tarde
David Morales;57924512;2025-03-20;07:50;15:49;20;Tarde
Santiago Puerta;20761383;2025-05-31;07:59;16:03;29;Tarde
Carlos Perez;87778485;2025-02-09;07:42;15:12;12;Tarde
David Morales;90374773;2025-02-08;07:58;15:46;28;Tarde
Ana Torres;54891709;2025-06-28;07:59;15:53;29;Tarde
Ana Torres;90512733;2025-03-09;08:05;16:30;35;Tarde
Carlos Perez;19160747;2025-02-10;08:00;16:30;30;Tarde
Carlos Perez;35212292;2025-05-12;07:45;15:17;15;Tarde
Carlos Perez;95810359;2025-07-01;08:17;16:26;47;Tarde
Harrison Rengifo;22002437;2025-02-06;08:02;15:44;32;Tarde
Ana Torres;88270582;2025-08-25;08:21;16:45;51;Tarde
Laura Gomez;81062380;2025-04-01;07:57;16:17;27;Tarde
Harrison Rengifo;38799573;2025-04-18;07:33;15:13;3;Tarde
Laura Gomez;88886872;2025-02-10;07:44;15:28;14;Tarde
Maria Sanchez;30144578;2025-05-10;07:44;15:36;14;Tarde
Sebastian Garcia;77431037;2025-05-21;07:43;15:31;13;Tarde
David Morales;48444367;2025-02-28;08:09;16:00;39;Tarde
Santiago Puerta;84913163;2025-02-26;07:49;16:19;19;Tarde
Samuel Bernal;68098049;2025-01-24;07:32;15:33;2;Tarde
Sebastian Garcia;52942975;2025-02-25;08:17;16:44;47;Tarde
Harrison Rengifo;84770671;2025-03-01;07:45;15:51;15;Tarde
Ana Torres;63867120;2025-08-11;07:38;15:59;8;Tarde
Carlos Perez;12413375;2025-01-25;07:42;15:42;12;Tarde
Samuel Bernal;65471597;2025-03-24;08:00;15:51;30;Tarde
David Morales;44363136;2025-03-12;08:08;16:25;38;Tarde
Samuel Bernal;83414211;2025-02-28;07:46;15:55;16;Tarde
Carlos Perez;48828123;2025-01-25;07:41;15:46;11;Tarde
Harrison Rengifo;58327370;2025-04-09;08:29;16:07;59;Tarde
Maria Sanchez;15475473;2025-05-30;07:34;15:51;4;Tarde
Samuel Bernal;80463288;2025-03-12;07:39;15:11;9;Tarde
Harrison Rengifo;56996639;2025-07-22;07:33;16:01;3;Tarde
Cristian Sierra;73683669;2025-03-06;08:20;15:59;50;Tarde
Sebastian Garcia;55607874;2025-04-20;07:57;15:42;27;Tarde
Cristian Sierra;12795762;2025-08-15;07:33;15:52;3;Tarde
Samuel Bernal;69105748;2025-03-11;08:28;16:22;58;Tarde
David Morales;36857617;2025-06-04;07:52;15:48;22;Tarde
Maria Sanchez;62268088;2025-05-10;07:41;15:20;11;Tarde
Maria Sanchez;85800763;2025-05-07;08:26;16:45;56;Tarde
Laura Gomez;29456773;2025-05-07;07:31;15:18;1;Tarde
Sebastian Garcia;92485443;2025-01-12;07:48;15:53;18;Tarde
Ana Torres;43830889;2025-02-21;08:25;16:26;55;Tarde
Maria Sanchez;72233737;2025-06-13;07:57;16:06;27;Tarde
David Morales;70562382;2025-05-10;07:46;16:09;16;Tarde
Laura Gomez;24831647;2025-07-29;07:33;15:37;3;Tarde
Maria Sanchez;43827047;2025-06-24;08:17;16:28;47;Tarde
Laura Gomez;25228268;2025-06-25;07:58;16:04;28;Tarde
Santiago Puerta;82448662;2025-06-05;08:24;16:36;54;Tarde
Sebastian Garcia;91160857;2025-08-16;08:15;16:00;45;Tarde
Samuel Bernal;60255202;2025-05-14;07:53;16:05;23;Tarde
Carlos Perez;24960801;2025-05-21;07:38;16:08;8;Tarde
Harrison Rengifo;76267746;2025-03-19;07:58;16:20;28;Tarde
Sebastian Garcia;26519365;2025-05-15;07:56;16:26;26;Tarde
Laura Gomez;72237861;2025-04-28;08:11;15:42;41;Tarde
Santiago Puerta;15564512;2025-07-04;07:34;15:32;4;Tarde
David Morales;30541593;2025-05-03;08:28;16:30;58;Tarde
Maria Sanchez;92865685;2025-07-20;08:19;16:43;49;Tarde
Ana Torres;50303152;2025-06-29;08:19;16:43;49;Tarde
Samuel Bernal;31604983;2025-07-06;07:46;15:59;16;Tarde
Harrison Rengifo;25111653;2025-03-15;08:02;15:44;32;Tarde
Harrison Rengifo;55554617;2025-08-17;08:02;15:53;32;Tarde
David Morales;35436625;2025-02-15;07:32;15:22;2;Tarde
Ana Torres;91649313;2025-06-12;07:40;15:44;10;Tarde
Cristian Sierra;36107716;2025-04-24;07:48;15:24;18;Tarde
Ana Torres;82850436;2025-08-02;07:58;16:26;28;Tarde
Maria Sanchez;72251038;2025-01-18;07:48;15:45;18;Tarde
Carlos Perez;36223344;2025-06-06;08:11;16:21;41;Tarde
Maria Sanchez;72844518;2025-01-19;08:19;16:27;49;Tarde
Ana Torres;91542698;2025-03-18;07:57;16:09;27;Tarde
Samuel Bernal;64294825;2025-02-14;07:35;15:52;5;Tarde
Santiago Puerta;92973657;2025-08-20;07:53;15:54;23;Tarde
Harrison Rengifo;42599826;2025-07-25;08:08;16:18;38;Tarde
Harrison Rengifo;72513720;2025-01-19;07:43;16:03;13;Tarde
Ana Torres;96344038;2025-05-06;08:13;16:26;43;Tarde
Laura Gomez;79075919;2025-05-11;07:51;15:21;21;Tarde
Carlos Perez;31863945;2025-06-04;08:09;16:13;39;Tarde
Samuel Bernal;45183770;2025-02-03;07:53;15:24;23;Tarde
Sebastian Garcia;92444319;2025-05-08;07:36;15:21;6;Tarde
Carlos Perez;32720212;2025-07-07;07:58;16:10;28;Tarde
Santiago Puerta;54242863;2025-01-17;07:52;16:08;22;Tarde
Laura Gomez;15774139;2025-04-25;08:13;15:53;43;Tarde
Samuel Bernal;29269907;2025-07-17;08:22;16:03;52;Tarde
Ana Torres;90865098;2025-01-30;07:31;15:36;1;Tarde
Harrison Rengifo;85502567;2025-04-14;07:56;15:42;26;Tarde
Sebastian Garcia;21272199;2025-01-03;08:12;16:21;42;Tarde
Santiago Puerta;23131552;2025-08-17;08:14;15:49;44;Tarde
Cristian Sierra;11611376;2025-07-24;08:05;15:48;35;Tarde
Carlos Perez;52572940;2025-04-08;08:16;16:07;46;Tarde
Laura Gomez;96968045;2025-03-02;07:58;16:00;28;Tarde
Cristian Sierra;82736026;2025-01-14;08:04;16:34;34;Tarde
Laura Gomez;45862518;2025-01-22;08:02;16:31;32;Tarde
Sebastian Garcia;41128135;2025-06-08;07:37;15:57;7;Tarde
David Morales;12406674;2025-07-23;08:00;16:04;30;Tarde
David Morales;37510321;2025-06-04;08:05;15:57;35;Tarde
Harrison Rengifo;51866506;2025-06-26;07:51;15:26;21;Tarde
David Morales;39965864;2025-01-30;07:39;15:48;9;Tarde
Harrison Rengifo;62116426;2025-02-16;08:18;15:57;48;Tarde
Maria Sanchez;96603170;2025-08-04;08:02;16:03;32;Tarde
Samuel Bernal;88003802;2025-07-10;08:26;16:33;56;Tarde
Santiago Puerta;60892459;2025-02-02;08:20;16:37;50;Tarde
Harrison Rengifo;19412411;2025-03-01;07:51;15:43;21;Tarde
Samuel Bernal;45129016;2025-06-30;08:24;16:31;54;Tarde
Carlos Perez;21882472;2025-05-15;08:00;15:58;30;Tarde
Laura Gomez;41786285;2025-04-03;07:39;15:33;9;Tarde
Samuel Bernal;62634034;2025-02-19;07:48;15:37;18;Tarde
Samuel Bernal;48461845;2025-05-14;07:59;15:55;29;Tarde
Laura Gomez;44520082;2025-08-17;07:35;15:29;5;Tarde
Laura Gomez;44141717;2025-05-27;07:56;16:17;26;Tarde
Cristian Sierra;99084332;2025-01-10;08:06;16:17;36;Tarde
Laura Gomez;73948851;2025-06-07;08:24;16:23;54;Tarde
Sebastian Garcia;63350224;2025-03-01;08:00;15:43;30;Tarde
Harrison Rengifo;79495007;2025-08-25;07:51;16:11;21;Tarde
Sebastian Garcia;68816627;2025-08-17;07:35;15:21;5;Tarde
David Morales;25640190;2025-08-22;07:53;15:45;23;Tarde
Maria Sanchez;58295003;2025-04-07;08:15;16:26;45;Tarde
Santiago Puerta;93306176;2025-05-10;08:27;16:53;57;Tarde
Cristian Sierra;17243813;2025-07-01;08:15;16:20;45;Tarde
Samuel Bernal;91781693;2025-04-24;07:46;15:40;16;Tarde
Laura Gomez;87776030;2025-04-05;07:37;15:40;7;Tarde
Samuel Bernal;14773562;2025-08-11;07:47;15:29;17;Tarde
Harrison Rengifo;89383198;2025-08-14;07:34;15:16;4;Tarde
Santiago Puerta;24352928;2025-01-10;08:17;15:47;47;Tarde
Santiago Puerta;82850602;2025-05-30;07:51;16:21;21;Tarde
Santiago Puerta;20250674;2025-05-20;08:16;16:13;46;Tarde
Laura Gomez;45421935;2025-02-23;07:43;15:57;13;Tarde
Carlos Perez;55779954;2025-07-23;08:03;15:40;33;Tarde
Maria Sanchez;85277221;2025-04-25;08:15;15:48;45;Tarde
Santiago Puerta;13425797;2025-08-25;07:41;15:20;11;Tarde
Cristian Sierra;97677229;2025-05-05;08:14;16:38;44;Tarde
Santiago Puerta;80081759;2025-05-02;07:45;15:37;15;Tarde
Santiago Puerta;25920769;2025-01-01;07:52;15:33;22;Tarde
Ana Torres;90630174;2025-03-05;08:20;16:10;50;Tarde
Sebastian Garcia;14719794;2025-02-15;07:46;15:32;16;Tarde
Maria Sanchez;42027558;2025-02-16;07:30;15:28;0;-
David Morales;61039688;2025-08-08;07:35;15:25;5;Tarde
Laura Gomez;38841312;2025-06-03;08:04;16:20;34;Tarde
Samuel Bernal;17744761;2025-08-03;08:04;16:16;34;Tarde
Laura Gomez;82900817;2025-05-24;08:15;16:04;45;Tarde
Ana Torres;35401822;2025-06-11;08:17;16:19;47;Tarde
Sebastian Garcia;54366772;2025-08-04;07:50;15:34;20;Tarde
Santiago Puerta;12670692;2025-05-04;07:46;16:01;16;Tarde
Maria Sanchez;48974219;2025-05-20;07:45;15:48;15;Tarde
Maria Sanchez;87327838;2025-04-12;07:47;15:26;17;Tarde
Carlos Perez;60424292;2025-01-11;08:03;16:26;33;Tarde
David Morales;34969708;2025-07-06;07:31;15:59;1;Tarde
Sebastian Garcia;62231806;2025-03-19;08:03;15:55;33;Tarde
Cristian Sierra;78275860;2025-03-20;08:19;16:01;49;Tarde
Sebastian Garcia;16876913;2025-03-10;07:36;15:22;6;Tarde
Maria Sanchez;14359861;2025-07-04;07:52;15:30;22;Tarde
Santiago Puerta;75813768;2025-08-04;08:16;15:54;46;Tarde
Sebastian Garcia;77369921;2025-05-05;08:23;15:57;53;Tarde
David Morales;52316683;2025-04-17;07:43;15:28;13;Tarde
Harrison Rengifo;52266769;2025-05-27;07:41;15:19;11;Tarde
Samuel Bernal;43012423;2025-01-26;08:10;16:05;40;Tarde
Cristian Sierra;22180396;2025-05-02;08:02;16:25;32;Tarde
Santiago Puerta;41831061;2025-07-23;08:10;15:46;40;Tarde
Ana Torres;59903410;2025-05-03;07:59;16:14;29;Tarde
Ana Torres;70554344;2025-07-10;07:35;15:17;5;Tarde
Ana Torres;90236199;2025-08-15;07:50;16:03;20;Tarde
Cristian Sierra;93523334;2025-04-03;08:26;16:04;56;Tarde
Maria Sanchez;58981125;2025-03-19;08:13;16:23;43;Tarde
David Morales;54199080;2025-07-13;07:35;15:32;5;Tarde
Ana Torres;99755614;2025-02-11;07:45;15:51;15;Tarde
Samuel Bernal;55590849;2025-05-01;07:45;15:39;15;Tarde
Maria Sanchez;68324305;2025-02-19;07:42;16:09;12;Tarde
Harrison Rengifo;71965039;2025-05-13;08:27;16:11;57;Tarde
Sebastian Garcia;96136371;2025-01-01;08:24;16:34;54;Tarde
Sebastian Garcia;99470654;2025-01-18;08:15;16:09;45;Tarde
Ana Torres;77594470;2025-05-27;08:26;16:29;56;Tarde
Harrison Rengifo;73397668;2025-05-01;07:57;16:10;27;Tarde
Samuel Bernal;45861250;2025-05-01;08:00;15:42;30;Tarde
Santiago Puerta;27001752;2025-06-17;08:24;16:06;54;Tarde
Laura Gomez;45092117;2025-01-22;08:14;16:43;44;Tarde
Harrison Rengifo;94400192;2025-05-09;07:51;15:53;21;Tarde
Laura Gomez;29194669;2025-03-13;08:08;16:14;38;Tarde
Samuel Bernal;52565547;2025-02-09;08:24;16:29;54;Tarde
Sebastian Garcia;21469666;2025-01-17;07:46;15:57;16;Tarde
Ana Torres;31483748;2025-04-15;07:39;15:11;9;Tarde
Samuel Bernal;76948874;2025-05-02;07:56;16:07;26;Tarde
Laura Gomez;15217386;2025-03-11;08:04;16:16;34;Tarde
Cristian Sierra;73407851;2025-07-30;08:30;16:04;60;Tarde
Samuel Bernal;60754403;2025-03-16;07:57;16:26;27;Tarde
Santiago Puerta;99576996;2025-05-31;08:21;16:37;51;Tarde
Harrison Rengifo;27454100;2025-07-20;08:08;15:54;38;Tarde
Maria Sanchez;14102743;2025-02-06;08:29;16:21;59;Tarde
Harrison Rengifo;92437216;2025-08-25;07:45;16:09;15;Tarde
Harrison Rengifo;82941936;2025-02-17;07:30;15:13;0;-
Cristian Sierra;50579774;2025-03-07;07:46;15:43;16;Tarde
Samuel Bernal;32069070;2025-06-23;08:21;16:14;51;Tarde
Ana Torres;43765083;2025-07-25;08:11;15:52;41;Tarde
Sebastian Garcia;83907496;2025-05-06;07:41;15:45;11;Tarde
Samuel Bernal;94138679;2025-01-04;07:57;16:25;27;Tarde
David Morales;47437420;2025-03-30;08:23;16:41;53;Tarde
Laura Gomez;81169829;2025-02-07;08:26;16:09;56;Tarde
David Morales;50810096;2025-02-21;07:58;15:53;28;Tarde
Santiago Puerta;46497557;2025-08-24;07:36;15:24;6;Tarde
Samuel Bernal;37574261;2025-01-14;07:52;15:54;22;Tarde
Sebastian Garcia;52251148;2025-07-22;08:20;16:31;50;Tarde
Santiago Puerta;38811248;2025-06-07;08:05;16:10;35;Tarde
Harrison Rengifo;42879556;2025-04-15;07:37;15:39;7;Tarde
Harrison Rengifo;32003866;2025-05-15;07:41;15:25;11;Tarde
Cristian Sierra;94263381;2025-04-16;08:07;15:48;37;Tarde
Laura Gomez;31304826;2025-08-19;08:10;16:03;40;Tarde
Sebastian Garcia;17401307;2025-06-08;08:30;16:55;60;Tarde
Maria Sanchez;74388035;2025-02-23;07:40;15:29;10;Tarde
Samuel Bernal;47398983;2025-08-23;07:57;15:59;27;Tarde
Laura Gomez;17719336;2025-07-15;07:53;15:24;23;Tarde
Harrison Rengifo;93183072;2025-05-12;07:59;16:22;29;Tarde
Maria Sanchez;11971730;2025-05-10;08:20;16:49;50;Tarde
Ana Torres;59038778;2025-05-01;08:20;16:36;50;Tarde
Cristian Sierra;63881121;2025-01-24;07:53;15:34;23;Tarde
Samuel Bernal;27506693;2025-07-13;07:58;15:55;28;Tarde
Santiago Puerta;77080420;2025-03-08;08:20;16:42;50;Tarde
Santiago Puerta;21965527;2025-07-17;08:19;16:07;49;Tarde
Cristian Sierra;18600971;2025-01-26;07:47;15:52;17;Tarde
Samuel Bernal;69324554;2025-07-23;08:02;15:54;32;Tarde
Samuel Bernal;96054231;2025-04-26;07:46;15:40;16;Tarde
Maria Sanchez;46527170;2025-07-23;08:24;16:08;54;Tarde
Santiago Puerta;70146740;2025-06-28;08:05;15:39;35;Tarde
Sebastian Garcia;66897865;2025-02-15;08:10;16:40;40;Tarde
Laura Gomez;96595252;2025-07-17;08:18;16:04;48;Tarde
Cristian Sierra;94689344;2025-04-25;08:28;16:51;58;Tarde
Harrison Rengifo;97275115;2025-04-07;07:46;15:27;16;Tarde
Ana Torres;80094630;2025-02-19;08:11;16:24;41;Tarde
David Morales;68040131;2025-01-20;08:29;16:28;59;Tarde
Cristian Sierra;51232792;2025-08-23;07:42;15:38;12;Tarde
Samuel Bernal;36963549;2025-05-03;08:24;16:05;54;Tarde
Samuel Bernal;24915819;2025-03-23;08:22;16:45;52;Tarde
Ana Torres;71484878;2025-04-01;08:29;16:55;59;Tarde
Laura Gomez;75725730;2025-01-30;07:31;15:57;1;Tarde
Harrison Rengifo;51725588;2025-01-04;07:55;16:21;25;Tarde
Carlos Perez;74258089;2025-04-21;08:21;16:23;51;Tarde
Laura Gomez;49551126;2025-07-13;08:00;15:45;30;Tarde
Sebastian Garcia;28654874;2025-01-20;08:06;16:12;36;Tarde
Cristian Sierra;64845661;2025-05-22;07:48;16:08;18;Tarde
Laura Gomez;78796203;2025-04-22;08:15;16:01;45;Tarde
Samuel Bernal;38359400;2025-03-25;07:56;15:57;26;Tarde
Ana Torres;89960503;2025-02-25;08:12;16:01;42;Tarde
David Morales;17767634;2025-06-12;08:09;16:11;39;Tarde
Santiago Puerta;19541939;2025-01-05;08:02;15:50;32;Tarde
David Morales;62980882;2025-06-26;08:23;16:16;53;Tarde
David Morales;75585150;2025-02-21;07:41;15:51;11;Tarde
Carlos Perez;39271581;2025-07-23;08:28;16:55;58;Tarde
Maria Sanchez;20565812;2025-02-27;08:12;16:03;42;Tarde
David Morales;10877165;2025-06-25;07:51;16:20;21;Tarde
Maria Sanchez;72758897;2025-04-05;08:02;15:43;32;Tarde
Santiago Puerta;41043923;2025-01-01;08:01;16:06;31;Tarde
Samuel Bernal;91178885;2025-02-22;07:39;15:24;9;Tarde
Samuel Bernal;57063481;2025-04-03;07:35;15:45;5;Tarde
Maria Sanchez;57035651;2025-08-19;08:23;16:01;53;Tarde
Ana Torres;76388145;2025-05-10;07:39;16:02;9;Tarde
Maria Sanchez;58749557;2025-06-05;07:40;15:10;10;Tarde
Harrison Rengifo;97061277;2025-02-26;07:39;15:37;9;Tarde
Harrison Rengifo;30874533;2025-07-31;07:42;15:53;12;Tarde
Samuel Bernal;52792761;2025-08-24;07:50;15:40;20;Tarde
Samuel Bernal;19824783;2025-02-18;07:37;15:08;7;Tarde
Carlos Perez;31158842;2025-07-10;07:55;15:37;25;Tarde
Harrison Rengifo;67808359;2025-02-14;07:38;15:27;8;Tarde
Laura Gomez;65162294;2025-03-13;07:51;15:48;21;Tarde
Sebastian Garcia;70892664;2025-03-02;08:12;15:57;42;Tarde
Harrison Rengifo;50088917;2025-01-22;07:52;15:22;22;Tarde
Samuel Bernal;36203825;2025-03-06;07:53;16:17;23;Tarde
Harrison Rengifo;79161400;2025-02-19;07:52;15:34;22;Tarde
Samuel Bernal;21681530;2025-03-29;08:13;16:17;43;Tarde
Sebastian Garcia;33797763;2025-02-04;08:15;16:09;45;Tarde
Maria Sanchez;38835453;2025-03-09;08:05;16:18;35;Tarde
Maria Sanchez;48233932;2025-03-22;08:12;15:51;42;Tarde
Santiago Puerta;22227651;2025-08-24;08:27;16:03;57;Tarde
Cristian Sierra;78342894;2025-05-12;07:42;15:23;12;Tarde
Sebastian Garcia;50497242;2025-03-19;07:43;15:46;13;Tarde
Harrison Rengifo;90483458;2025-04-19;08:23;16:46;53;Tarde
Harrison Rengifo;93939931;2025-05-15;08:20;16:27;50;Tarde
Santiago Puerta;86399697;2025-04-13;08:20;16:41;50;Tarde
David Morales;92978152;2025-06-15;07:52;15:48;22;Tarde
Cristian Sierra;58610496;2025-03-25;08:28;16:31;58;Tarde
David Morales;47373015;2025-02-22;07:51;15:47;21;Tarde
Carlos Perez;11746737;2025-08-08;08:01;16:02;31;Tarde
Harrison Rengifo;12994925;2025-07-14;08:06;16:21;36;Tarde
Santiago Puerta;78678105;2025-03-16;08:05;16:34;35;Tarde
Santiago Puerta;92023885;2025-06-28;07:32;15:06;2;Tarde
Samuel Bernal;27186139;2025-05-23;07:47;15:23;17;Tarde
Maria Sanchez;27793010;2025-02-10;08:24;16:42;54;Tarde
Sebastian Garcia;18161645;2025-07-29;07:58;15:51;28;Tarde
Ana Torres;10784345;2025-03-29;08:24;16:43;54;Tarde
Carlos Perez;95501562;2025-07-11;07:45;15:17;15;Tarde
Sebastian Garcia;97731079;2025-05-19;08:11;16:06;41;Tarde
Carlos Perez;33336602;2025-07-16;08:05;16:25;35;Tarde
Sebastian Garcia;63431309;2025-01-07;07:43;15:21;13;Tarde
Maria Sanchez;48872863;2025-06-29;08:23;16:51;53;Tarde
Laura Gomez;38719809;2025-04-08;07:58;15:28;28;Tarde
David Morales;98890758;2025-08-29;07:35;15:18;5;Tarde
Maria Sanchez;22164313;2025-07-27;07:59;15:46;29;Tarde
Samuel Bernal;61869009;2025-04-12;07:30;15:00;0;-
Harrison Rengifo;78731913;2025-01-23;08:27;16:24;57;Tarde
David Morales;25118728;2025-08-19;08:04;16:27;34;Tarde
Samuel Bernal;79332983;2025-05-22;08:07;16:06;37;Tarde
Samuel Bernal;72391910;2025-04-18;08:05;16:17;35;Tarde
Samuel Bernal;91006093;2025-08-11;08:14;16:06;44;Tarde
Santiago Puerta;59835368;2025-06-18;07:51;16:07;21;Tarde
Harrison Rengifo;87239653;2025-05-07;07:31;15:28;1;Tarde
Santiago Puerta;84715442;2025-06-05;07:44;15:26;14;Tarde
Santiago Puerta;92081403;2025-01-06;07:40;15:56;10;Tarde
Maria Sanchez;65669270;2025-03-19;08:06;15:37;36;Tarde
Samuel Bernal;67733602;2025-03-06;08:21;16:17;51;Tarde
Santiago Puerta;36111578;2025-04-11;08:18;16:33;48;Tarde
Maria Sanchez;83292935;2025-02-23;07:48;15:26;18;Tarde
Harrison Rengifo;30796109;2025-02-19;07:47;16:11;17;Tarde
Harrison Rengifo;31019048;2025-07-08;07:34;15:33;4;Tarde
David Morales;92680343;2025-02-15;07:34;15:45;4;Tarde
Santiago Puerta;72477453;2025-08-17;07:58;15:50;28;Tarde
Laura Gomez;11337367;2025-03-01;07:53;16:21;23;Tarde
Harrison Rengifo;38106864;2025-06-08;08:01;16:07;31;Tarde
Cristian Sierra;18277971;2025-05-30;08:19;16:16;49;Tarde
Harrison Rengifo;28156262;2025-01-25;07:47;15:27;17;Tarde
Santiago Puerta;66120119;2025-05-07;08:00;16:22;30;Tarde
Harrison Rengifo;14098943;2025-07-26;08:12;16:40;42;Tarde
Ana Torres;52200499;2025-03-18;07:51;15:56;21;Tarde
Ana Torres;37970166;2025-08-10;08:09;16:09;39;Tarde
Santiago Puerta;29747837;2025-01-16;07:42;15:39;12;Tarde
