id_usuario,nombre,fecha,hora_entrada,hora_salida,area,rol
46,Bibiana Milla,2025-08-26,08:55,17:39,Producción,Gerente
47,Gustavo de Palau,2025-09-15,09:59,18:51,TI,Gerente
48,Melania Yuste Ayllón,2025-09-12,08:21,17:29,Logística,Practicante
49,Genoveva Barberá Batalla,2025-09-03,08:45,17:41,Contabilidad,Supervisor
50,Herberto del Lillo,2025-07-09,09:27,17:46,Ventas,Practicante
51,Jordi de Balaguer,2025-08-09,09:06,17:02,Logística,Gerente
52,Julio César Pulido Cortes,2025-07-24,08:07,18:53,TI,Gerente
53,Joaquín Olmedo,2025-07-17,09:38,18:17,Producción,Gerente
54,Remigio Cipriano Ortiz Colomer,2025-09-10,08:31,17:39,TI,Practicante
55,Trinidad Recio Frutos,2025-07-10,08:12,17:58,Producción,Practicante
56,Emma Galiano Serrano,2025-07-20,08:56,17:08,Recursos Humanos,Empleado
57,Miguel Ángel Delgado Galindo,2025-07-29,08:13,17:14,Producción,Empleado
58,Nacho de Madrid,2025-08-15,09:48,18:56,Logística,Practicante
59,Edu Alegria Rojas,2025-08-14,08:12,18:18,Producción,Supervisor
60,Abril Lola Durán Atienza,2025-07-18,08:34,17:11,Contabilidad,Empleado
61,Macario de Barrera,2025-08-19,08:26,17:52,TI,Empleado
62,Juan Luis de Montesinos,2025-06-29,08:39,17:30,TI,Practicante
63,Matías Campos Murillo,2025-06-21,08:10,17:03,Logística,Gerente
64,Paloma Andreu Rodríguez,2025-07-22,08:38,18:17,TI,Empleado
65,Clementina Ribera Azorin,2025-09-08,09:41,18:51,Ventas,Empleado
66,Saturnina Agustina Alonso Carreño,2025-08-21,09:55,17:54,Ventas,Supervisor
67,Maristela Ariza,2025-06-27,08:43,17:00,Contabilidad,Empleado
68,Lorenzo Noguera Casas,2025-08-07,08:20,17:46,Logística,Supervisor
69,Marisol Durán Posada,2025-07-26,08:14,17:11,Ventas,Empleado
70,Íngrid Gomila-Marcos,2025-07-21,09:24,18:05,Contabilidad,Gerente
71,Nazaret Palomares Baró,2025-08-10,09:51,17:17,TI,Practicante
72,Pelayo Rivas-Cortés,2025-08-15,10:00,18:44,Contabilidad,Gerente
73,Juan Bautista Serra Espejo,2025-07-22,09:02,18:00,Producción,Empleado
74,Úrsula Campoy Estevez,2025-06-23,08:05,17:51,Logística,Practicante
75,Efraín Andres,2025-06-24,09:06,18:23,Logística,Practicante
76,Luciano Cerro,2025-08-30,09:33,17:48,Producción,Practicante
77,Ámbar Gimeno,2025-08-01,08:55,17:14,TI,Gerente
78,Prudencia del Llopis,2025-09-09,08:03,17:01,Contabilidad,Empleado
79,Jaime Oliver,2025-06-24,09:29,17:26,Ventas,Empleado
80,Aníbal Flor Rocha,2025-08-16,08:07,17:39,Recursos Humanos,Gerente
81,Mamen Agudo Fiol,2025-08-26,08:52,18:29,Ventas,Empleado
82,Miguel Ángel del Sedano,2025-08-01,09:23,17:11,Contabilidad,Gerente
83,Consuela Fonseca Pombo,2025-09-17,09:44,17:18,Producción,Empleado
84,Evelia Vera Perea Baeza,2025-09-13,09:40,18:44,Logística,Empleado
85,Natalio Belmonte Oliver,2025-07-29,08:15,17:09,Recursos Humanos,Practicante
86,Luisina Gallart Madrid,2025-09-10,08:34,17:04,Producción,Empleado
87,Gerardo Sancho Castellanos,2025-07-19,09:43,17:24,TI,Practicante
88,Epifanio Sebastián Morales,2025-08-10,08:12,17:41,Logística,Gerente
89,Alma Agustín Navarro,2025-09-14,09:26,17:48,TI,Empleado
90,Goyo Riquelme Crespo,2025-07-24,08:31,18:18,Contabilidad,Empleado
91,Carmen de Suárez,2025-08-13,09:01,17:33,Recursos Humanos,Practicante
92,Adela Nuria Planas Cepeda,2025-08-17,08:13,18:27,Ventas,Empleado
93,Victor Manuel Aguilar Almagro,2025-09-01,08:48,17:36,Producción,Empleado
94,Yaiza de Pedraza,2025-07-12,09:31,18:35,Ventas,Supervisor
95,Josué del Blanca,2025-07-23,09:22,17:18,Logística,Gerente
96,Chuy Borrell Gracia,2025-09-10,09:14,17:50,TI,Practicante
97,Zoraida Pedrosa-Heras,2025-07-11,08:24,17:07,TI,Supervisor
98,Nadia de Benavides,2025-07-07,09:16,17:58,Recursos Humanos,Empleado
99,Valentina Oliver,2025-08-06,09:20,17:31,Producción,Supervisor
100,Eligia Mir,2025-07-12,09:26,17:20,Logística,Gerente
101,Lidia Méndez Mendizábal,2025-08-31,08:11,17:24,TI,Practicante
102,Óscar Gonzalo-Segarra,2025-06-30,09:22,18:34,TI,Empleado
103,Marc Pol Infante,2025-06-26,08:07,17:06,Producción,Empleado
104,Santiago Abad Cortina,2025-07-22,09:06,17:41,TI,Empleado
105,Matías Clavero-Valencia,2025-09-10,09:24,18:37,Recursos Humanos,Practicante
106,Curro de Cal,2025-09-17,08:24,17:05,Logística,Gerente
107,Florencio Moreno Egea,2025-08-09,09:51,18:17,TI,Supervisor
108,Marciano del Calatayud,2025-07-20,09:40,17:57,TI,Practicante
109,Primitivo René Manzano Manso,2025-07-11,08:22,18:45,Ventas,Practicante
110,Azucena Magdalena Gargallo Rios,2025-09-05,09:28,17:51,TI,Supervisor
111,María Luisa Rocamora Santamaría,2025-08-02,09:06,18:57,Contabilidad,Gerente
112,Rosa María Julián Múñiz,2025-08-27,08:32,18:33,Ventas,Gerente
113,Manu Ramos Pou,2025-08-17,09:56,18:05,Logística,Gerente
114,Rosaura Lorenzo-Jurado,2025-08-27,08:15,17:24,Logística,Empleado
115,Galo Campos,2025-08-11,09:11,18:17,Recursos Humanos,Empleado
116,Abigaíl Bonilla Barco,2025-09-08,08:16,18:13,Contabilidad,Supervisor
117,Noemí Ferrández Mayoral,2025-09-16,09:36,17:37,Contabilidad,Gerente
118,Florina Cerdán,2025-07-08,08:43,17:29,Recursos Humanos,Practicante
119,Desiderio Garay Zorrilla,2025-08-17,09:26,18:05,Logística,Practicante
120,Beatriz Santamaría Cadenas,2025-07-04,09:20,18:26,Recursos Humanos,Empleado
121,Vidal Jose Font Díaz,2025-08-01,08:45,17:44,Logística,Gerente
122,Felipa Jimenez Pont,2025-06-28,08:50,18:17,Contabilidad,Supervisor
123,Reyes Ribes Castillo,2025-09-11,09:03,17:59,Ventas,Practicante
124,Ovidio Álvarez-Núñez,2025-09-01,08:33,18:30,TI,Supervisor
125,Georgina de Lledó,2025-07-07,09:31,17:56,Contabilidad,Gerente
126,Pedro Tamayo,2025-06-22,08:12,18:17,Producción,Gerente
127,Flavio Aliaga Herranz,2025-08-05,09:57,18:07,Logística,Gerente
128,Mayte Poza Guillén,2025-07-01,08:43,19:00,Contabilidad,Empleado
129,Dafne Viñas-Soriano,2025-07-10,09:58,17:36,Contabilidad,Practicante
130,Jacinto de Jurado,2025-08-06,08:21,17:24,Recursos Humanos,Practicante
131,Eliseo Tenorio Gallart,2025-08-08,09:22,17:39,Contabilidad,Empleado
132,Fátima García Hernandez,2025-08-28,08:09,18:55,Ventas,Gerente
133,Berto Tiburcio Rivero Conesa,2025-06-21,08:24,17:22,Producción,Supervisor
134,Chuy Macías Ruano,2025-08-23,09:07,17:27,TI,Practicante
135,Damián Caballero Campo,2025-08-04,08:02,17:39,Contabilidad,Gerente
136,Jaime Vallejo Vega,2025-09-09,09:05,18:05,Contabilidad,Supervisor
137,Luisa Saez Puente,2025-08-18,08:27,17:31,Contabilidad,Practicante
138,Jacinto de Benitez,2025-08-24,09:25,17:44,Recursos Humanos,Supervisor
139,Natividad Herranz Mas,2025-09-07,09:56,18:22,Contabilidad,Gerente
140,Lupe Murcia,2025-07-13,09:50,17:24,Producción,Practicante
141,Aurora Molina López,2025-09-12,08:33,18:30,Contabilidad,Practicante
142,Concha del Avilés,2025-08-24,08:18,18:28,Ventas,Gerente
143,Isaías del Grande,2025-09-05,08:47,18:27,Ventas,Practicante
144,Eliana Isern Jover,2025-09-10,09:53,18:09,Producción,Empleado
145,María Baeza Solsona,2025-07-08,09:54,18:20,Logística,Gerente
146,Eliseo Arribas Barros,2025-06-22,08:40,17:53,Contabilidad,Practicante
147,Aitana Matas Narváez,2025-08-10,08:10,18:09,Recursos Humanos,Gerente
148,Aarón Carro,2025-07-30,09:05,18:15,Contabilidad,Practicante
149,Ildefonso Echeverría Posada,2025-07-05,08:26,18:46,Logística,Practicante
150,Juan Blázquez Ripoll,2025-08-19,09:41,17:48,Ventas,Practicante
151,Luisa Nayara Lloret Chico,2025-06-24,08:24,17:08,Contabilidad,Gerente
152,Moreno Calvo-Cadenas,2025-09-05,09:44,18:50,Ventas,Empleado
153,Marciano Llorente Peralta,2025-06-29,09:34,17:44,Recursos Humanos,Practicante
154,Abel Ramis Mir,2025-08-05,09:21,18:56,Producción,Supervisor
155,Teófila Tur Sanmiguel,2025-09-12,08:00,18:04,Recursos Humanos,Empleado
156,Santos Roldán Amor,2025-07-31,09:55,18:44,Producción,Empleado
157,Gala Farré Molins,2025-09-08,08:51,18:24,Producción,Supervisor
158,Tomasa Alcántara Reina,2025-09-16,08:35,17:27,Recursos Humanos,Gerente
159,Ale Gomila Segura,2025-09-05,09:34,18:07,Contabilidad,Practicante
160,Paca Vives Castellanos,2025-08-28,09:26,17:09,TI,Supervisor
161,Apolinar Angulo Cadenas,2025-08-23,09:34,18:46,Logística,Gerente
162,Marciano Emilio Cámara Acuña,2025-08-10,08:58,19:00,Producción,Empleado
163,Perla del Páez,2025-09-10,08:38,18:40,Producción,Supervisor
164,Cintia Grau Berrocal,2025-07-25,09:00,18:30,Logística,Empleado
165,Primitivo Fuertes Baena,2025-06-26,09:29,18:44,Contabilidad,Practicante
166,Heriberto del Egea,2025-08-23,08:32,17:34,Producción,Empleado
167,Maximiano Palma Vicens,2025-08-22,08:54,18:28,Producción,Gerente
168,Herminia Nerea Batalla Alemán,2025-07-14,10:00,18:42,Contabilidad,Supervisor
169,Cándido Maestre Azorin,2025-07-06,08:07,17:35,Contabilidad,Gerente
170,Gilberto Fortuny-Crespo,2025-06-19,09:44,18:49,Logística,Practicante
171,Asunción Valbuena Solsona,2025-08-31,09:31,17:09,Contabilidad,Empleado
172,Clara de Colom,2025-07-21,09:04,18:43,Ventas,Gerente
173,Felicidad Escolano Jerez,2025-07-27,08:51,17:58,Recursos Humanos,Empleado
174,Joaquín de Ayala,2025-06-19,09:02,17:10,Ventas,Empleado
175,Rosa María Jaén Baena,2025-08-02,08:17,18:55,Ventas,Empleado
176,Estela Coca Montalbán,2025-07-30,08:56,17:16,Contabilidad,Empleado
177,Carla Gual,2025-07-30,08:41,17:09,Logística,Empleado
178,Emelina del Macias,2025-06-20,09:38,18:04,Producción,Gerente
179,Dafne Sotelo Moles,2025-08-24,08:54,17:30,Recursos Humanos,Practicante
180,Graciano Garmendia Moreno,2025-07-07,09:59,18:55,TI,Supervisor
181,Victoriano Andrade Giner,2025-08-21,09:31,17:52,Ventas,Empleado
182,Ernesto Macías Puente,2025-07-04,08:06,17:35,Ventas,Gerente
183,Teodora Alemany-Abril,2025-06-27,09:06,18:24,Recursos Humanos,Practicante
184,Renato Tadeo Jódar Sosa,2025-09-12,09:11,17:41,Recursos Humanos,Empleado
185,Alfonso Ríos Baró,2025-08-23,08:37,18:49,Logística,Gerente
186,Buenaventura Pineda Sevillano,2025-08-06,09:00,17:10,TI,Supervisor
187,Agustina del Quero,2025-07-12,09:20,17:07,TI,Practicante
188,Guiomar Oller-Delgado,2025-08-22,08:43,17:18,Ventas,Gerente
189,Candela Calvet Cazorla,2025-07-19,09:24,17:39,Recursos Humanos,Supervisor
190,Estrella Hierro,2025-08-24,09:04,18:49,Recursos Humanos,Empleado
191,Chita Caro Cruz,2025-08-25,09:24,18:08,Recursos Humanos,Empleado
192,Paula Villaverde Fiol,2025-08-28,08:03,17:31,Contabilidad,Gerente
193,Yéssica Calleja Herranz,2025-06-30,09:56,17:12,Producción,Gerente
194,Fulgencio Vargas,2025-09-14,08:14,18:19,TI,Empleado
195,Martín Inocencio Perez Jáuregui,2025-09-04,09:44,18:41,Contabilidad,Practicante
196,Manuela Pelayo-Ribas,2025-08-28,08:16,18:50,Contabilidad,Supervisor
197,Roque Iborra,2025-06-24,08:48,18:07,Logística,Practicante
198,Antonia Sanmartín,2025-07-27,08:00,17:15,Ventas,Supervisor
199,Silvio Cepeda Carranza,2025-08-08,09:43,17:17,Recursos Humanos,Gerente
200,Gabriel Cabrera Jordán,2025-08-12,08:49,17:49,Ventas,Empleado
201,Reyna Rosales Julián,2025-09-05,08:22,18:43,Ventas,Empleado
202,Jorge Sanabria Sáez,2025-08-13,08:15,17:21,TI,Empleado
203,Fermín del Artigas,2025-06-28,08:30,18:40,Ventas,Empleado
204,Alexandra Rosales Bolaños,2025-07-12,08:56,17:06,TI,Practicante
205,Fabiana Perla Mate Beltrán,2025-06-28,08:18,17:08,Logística,Gerente
206,Aitor de Valls,2025-08-30,08:02,18:08,Recursos Humanos,Supervisor
207,Anselmo de Serra,2025-09-14,08:57,17:37,Contabilidad,Empleado
208,José Mari Miralles Mendez,2025-08-12,08:58,17:22,Logística,Gerente
209,Jordi Saez Mendoza,2025-07-18,09:10,18:00,Logística,Supervisor
210,Chema Alfredo Morán Soria,2025-08-21,09:04,18:09,Logística,Gerente
211,Manuela Verdejo Jurado,2025-09-05,08:15,18:45,Ventas,Empleado
212,Irma Lluch Ferrando,2025-09-08,09:41,18:19,Logística,Empleado
213,Teodoro del Román,2025-06-26,09:04,18:02,Producción,Practicante
214,Zoraida Valcárcel Aguiló,2025-08-12,08:46,17:08,Ventas,Empleado
215,Gil Cuevas Diéguez,2025-06-24,09:02,17:56,Ventas,Practicante
216,María Palacios Valdés,2025-07-17,08:50,18:12,Contabilidad,Practicante
217,Flor Correa Báez,2025-07-12,08:24,18:21,TI,Gerente
218,Hipólito Carlito Jara Camps,2025-09-06,09:33,18:56,TI,Practicante
219,Clementina Cintia Perelló Mayoral,2025-08-19,09:09,18:04,Recursos Humanos,Empleado
220,América Eusebia Bustos Tomás,2025-06-28,09:33,17:27,Producción,Supervisor
221,Luís Garcia Galán,2025-08-29,09:43,17:53,Ventas,Practicante
222,Luciano Toro-Bejarano,2025-07-10,09:01,18:10,Contabilidad,Gerente
223,Miguel Chaves Mas,2025-09-06,09:58,18:26,Contabilidad,Supervisor
224,Lorenzo Palma Abella,2025-08-07,08:55,17:31,Producción,Gerente
225,Damián Teruel Velasco,2025-06-23,08:01,18:15,Contabilidad,Gerente
226,Felix Valentín Cerro,2025-07-16,08:01,17:37,TI,Empleado
227,Pánfilo Lamas Roldán,2025-06-22,08:29,17:25,TI,Gerente
228,Socorro Segura,2025-06-26,08:13,18:11,Ventas,Gerente
229,Venceslás Gracia Tapia,2025-07-07,09:30,18:35,Producción,Gerente
230,Toño Morillo Perales,2025-06-23,08:59,17:37,Producción,Empleado
231,José Manuel Checa Jódar,2025-07-22,08:17,18:27,Producción,Empleado
232,Eloísa del Alcaraz,2025-08-19,09:24,17:50,Contabilidad,Practicante
233,Manola Pagès Pozo,2025-07-01,08:14,18:00,Contabilidad,Empleado
234,Julia Alsina Vendrell,2025-08-10,09:07,17:08,Contabilidad,Empleado
235,Román de Lopez,2025-07-31,08:07,17:43,Recursos Humanos,Supervisor
236,Hilario Nicolás Ortiz,2025-07-26,08:13,17:33,Contabilidad,Supervisor
237,Abel Rojas Ortega,2025-08-31,08:33,18:30,Producción,Supervisor
238,Loreto Pedro Borrell Expósito,2025-07-29,08:42,18:23,Contabilidad,Practicante
239,Paz Benito,2025-08-26,09:33,18:30,TI,Empleado
240,Bernardo Juan Bautista Tejedor Fernández,2025-07-03,08:05,17:16,Recursos Humanos,Empleado
241,Magdalena Herrero Acuña,2025-09-06,08:01,17:06,Ventas,Practicante
242,Alondra Azeneth Coll Castañeda,2025-08-29,08:26,17:46,Logística,Empleado
243,Aarón Heras Ibarra,2025-08-17,08:57,17:08,Recursos Humanos,Empleado
244,Teófilo Pera Pla,2025-09-04,09:00,18:27,Recursos Humanos,Supervisor
245,Pío Iniesta Barba,2025-09-12,09:26,18:50,Ventas,Gerente
246,Isabel Montalbán-Fonseca,2025-08-11,08:54,17:42,Logística,Practicante
247,Anselmo Dávila,2025-09-01,08:38,17:11,Producción,Supervisor
248,Mireia Herrera Baeza,2025-07-10,09:58,17:36,Ventas,Practicante
249,Luís Reina Juárez,2025-08-29,08:09,18:43,Recursos Humanos,Practicante
250,Cristian Sanjuan Galan,2025-08-07,08:57,18:26,Logística,Empleado
251,Bernardo Roman Armengol,2025-07-26,09:18,17:06,Logística,Gerente
252,Pascual Gomila,2025-09-04,09:51,17:46,TI,Gerente
253,Manuela de Iglesias,2025-07-26,08:05,17:02,Logística,Supervisor
254,Haroldo Escribano Luna,2025-07-08,08:15,17:47,Ventas,Supervisor
255,Modesto Águila,2025-07-14,08:06,18:44,Contabilidad,Supervisor
256,Bernabé Barriga Carlos,2025-06-19,08:45,18:52,Producción,Supervisor
257,Rosalina del Roda,2025-09-10,08:54,17:00,Recursos Humanos,Gerente
258,Paca Monreal-Bello,2025-06-30,09:49,17:57,Logística,Practicante
259,Ezequiel Sarabia Goicoechea,2025-09-11,08:54,17:26,Ventas,Practicante
260,Gerónimo Javi Morillo Escribano,2025-09-09,08:43,19:00,TI,Gerente
261,Victoriano Rivera,2025-06-28,08:07,18:26,TI,Gerente
262,Magdalena Rosales Granados,2025-06-26,09:49,18:17,Ventas,Supervisor
263,Valentina Castrillo,2025-08-09,08:05,18:47,Logística,Supervisor
264,Soraya de Serra,2025-08-01,08:57,18:20,Logística,Gerente
265,Marciano Garcia,2025-09-04,08:26,18:34,Contabilidad,Supervisor
266,Albino Almansa Benavente,2025-06-25,08:54,18:23,Producción,Empleado
267,Bernardita Escamilla Lopez,2025-07-21,09:50,17:16,Ventas,Practicante
268,Raúl Botella Viana,2025-08-03,08:06,17:16,Logística,Supervisor
269,Aurelio Ayuso Carbajo,2025-08-18,09:24,17:51,Contabilidad,Gerente
270,José Mari Galiano-Alemán,2025-08-18,09:43,17:30,Logística,Practicante
271,Eva María del Alonso,2025-08-15,08:34,17:45,Producción,Practicante
272,Chucho Arnal Arribas,2025-07-27,08:28,18:54,Producción,Empleado
273,Tomás Quintero Pujadas,2025-06-25,08:23,18:43,Producción,Practicante
274,Ignacio Prats Gomis,2025-08-01,09:21,18:43,Contabilidad,Practicante
275,Édgar Poza Marín,2025-06-24,09:18,17:49,Producción,Empleado
276,Maxi de Piquer,2025-08-12,09:52,18:32,Contabilidad,Practicante
277,Guiomar Barreda Vicens,2025-09-02,09:49,18:44,TI,Empleado
278,Gregorio Alegre Español,2025-07-29,09:37,18:15,Logística,Practicante
279,Ester Girona,2025-09-12,08:02,18:25,Logística,Gerente
280,Humberto Murillo-Elías,2025-08-03,09:22,17:35,Logística,Empleado
281,Maura Pacífica Iniesta Gonzalo,2025-07-07,08:23,18:50,Recursos Humanos,Practicante
282,Gloria del Checa,2025-08-01,08:06,18:02,Contabilidad,Gerente
283,Maximino Amor Bertrán,2025-07-31,09:27,17:30,Recursos Humanos,Gerente
284,Ximena Hernando Ribas,2025-07-12,08:55,17:13,Contabilidad,Practicante
285,Toño Acero Aguado,2025-07-16,08:43,17:49,Producción,Practicante
286,Rosa María Reig Montesinos,2025-08-08,08:40,18:08,TI,Gerente
287,Pilar Morcillo Céspedes,2025-08-05,08:00,18:37,Recursos Humanos,Supervisor
288,Emma Elba Redondo Pineda,2025-09-05,08:19,17:14,Ventas,Practicante
289,Plinio Marcos Puga,2025-09-13,08:12,17:19,Recursos Humanos,Practicante
290,Nicolás Robledo Aguilera,2025-07-30,09:08,18:42,Producción,Supervisor
291,Herminia Quesada Hidalgo,2025-08-12,09:54,18:40,Contabilidad,Empleado
292,Valentina Mayo-Quero,2025-08-11,09:44,17:43,Ventas,Supervisor
293,Eutimio Mascaró Moya,2025-08-11,09:20,17:35,TI,Empleado
294,Gastón Carranza Molina,2025-09-12,09:06,19:00,Recursos Humanos,Empleado
295,Máxima Porras Tirado,2025-07-28,08:45,18:19,Contabilidad,Empleado
296,Jordán Salamanca Boada,2025-07-12,09:14,18:04,TI,Gerente
297,Bonifacio Belmonte Menendez,2025-07-27,08:23,18:04,Recursos Humanos,Gerente
298,Tecla de Nuñez,2025-07-06,09:33,17:18,TI,Practicante
299,Rosenda Romeu Boada,2025-09-11,08:14,18:30,TI,Practicante
300,Saturnina Jove Anglada,2025-07-27,09:38,18:34,TI,Practicante
301,Maite del Jaén,2025-09-15,08:58,17:20,Contabilidad,Supervisor
302,Virginia Ribes Juárez,2025-08-01,08:34,18:30,Logística,Gerente
303,Berto Lumbreras Puerta,2025-08-17,09:57,17:13,Producción,Empleado
304,Teo Sureda,2025-07-05,08:25,17:48,Recursos Humanos,Gerente
305,Cristian Salvà Solís,2025-07-19,08:27,18:02,Contabilidad,Empleado
306,Amelia Lloret Gutiérrez,2025-07-07,08:00,17:33,TI,Empleado
307,Chuy Llano Torrens,2025-07-30,09:43,18:08,Ventas,Supervisor
308,Mirta Pascual Valenciano,2025-07-20,09:25,18:34,TI,Empleado
309,Belén Ricart-Iborra,2025-08-30,09:38,18:33,Producción,Gerente
310,Benito Casanova Sáenz,2025-09-06,08:45,18:30,Recursos Humanos,Gerente
311,Calixto Isern Vargas,2025-09-13,08:15,18:36,Recursos Humanos,Empleado
312,Tecla de Romero,2025-06-21,08:17,17:05,Recursos Humanos,Practicante
313,Lorena del Ayuso,2025-08-27,09:34,17:45,Recursos Humanos,Supervisor
314,Encarnación Bueno Bejarano,2025-08-19,09:26,18:57,Producción,Supervisor
315,Pastor Xavier Garmendia Barba,2025-07-20,08:10,18:43,Producción,Gerente
316,Olegario López,2025-08-31,08:40,17:42,Recursos Humanos,Gerente
317,Primitiva Alejandra Aznar Quevedo,2025-07-15,08:28,17:39,Producción,Practicante
318,Lourdes Aurora Mascaró Salom,2025-06-30,09:51,18:45,Ventas,Supervisor
319,Luís del Gámez,2025-06-27,08:43,18:44,Producción,Empleado
320,Marcela Roca Espada,2025-08-17,08:17,17:18,TI,Supervisor
321,Lorena Alcaraz Abella,2025-08-26,09:09,17:54,Logística,Gerente
322,Emma Boix Fuente,2025-08-05,08:54,18:49,TI,Empleado
323,Vito Alsina Coello,2025-08-11,09:52,17:08,Recursos Humanos,Empleado
324,Macarena Giménez Escrivá,2025-08-13,08:16,17:45,Ventas,Supervisor
325,Albino Jose Antonio Cadenas Valero,2025-06-30,09:07,17:08,Ventas,Gerente
326,Lupe Ferrán Gallo,2025-08-25,09:41,17:19,Ventas,Empleado
327,Calixto Manso-Gabaldón,2025-06-29,09:11,18:16,Ventas,Supervisor
328,Eustaquio Amaro Barrios Asenjo,2025-08-25,09:58,18:26,TI,Empleado
329,Emperatriz Otero Llamas,2025-09-13,09:57,17:13,Producción,Supervisor
330,Nilo Patricio Rivera Nicolau,2025-08-04,09:49,18:01,Recursos Humanos,Supervisor
331,Gabriela Valcárcel Saavedra,2025-08-27,09:08,18:34,Logística,Gerente
332,Emigdio Alsina Velasco,2025-08-19,09:33,17:28,Contabilidad,Gerente
333,Adrián Canet,2025-06-22,09:23,18:45,Producción,Empleado
334,Berto Navarro Llanos,2025-06-25,08:23,18:35,Contabilidad,Gerente
335,Nélida Tenorio Domínguez,2025-07-03,09:24,17:37,Ventas,Empleado
336,Salomé Álvarez-Bautista,2025-07-23,09:37,18:28,Recursos Humanos,Supervisor
337,Anita Campoy Botella,2025-07-11,09:02,17:55,Producción,Gerente
338,Esmeralda Fortuny Blanca,2025-06-29,08:21,18:47,Logística,Practicante
339,Artemio Roma Santana,2025-08-07,09:39,17:50,Contabilidad,Empleado
340,Flavio del Montoya,2025-09-11,09:55,18:09,Logística,Supervisor
341,Aurelio Giner,2025-08-04,08:01,17:50,Logística,Gerente
342,Heriberto de Durán,2025-09-14,09:17,18:06,Contabilidad,Practicante
343,Vinicio Ojeda,2025-08-19,08:30,17:27,Logística,Supervisor
344,Danilo Feliciano Casanovas Mosquera,2025-06-25,08:43,18:20,Ventas,Gerente
345,Selena Vélez Caro,2025-06-28,09:56,17:10,Contabilidad,Gerente
